City,Country,Datetime,Latitude,Max Temperature (F),Humidity %,Cloudiness %,Windspeed (mph)
Carnarvon,ZA,1538024741,-30.97,46.29,46,0,2.95
Avarua,CK,1538020800,-21.21,75.2,88,75,3.36
Conceicao do Araguaia,BR,1538024741,-8.26,72.84,95,8,2.84
Grindavik,IS,1538022600,63.84,41.0,80,75,12.75
Ranong,TH,1538020800,9.96,82.4,83,40,4.7
Cockburn Town,TC,1538024689,21.46,82.38,100,92,17.27
Sitka,US,1538024742,37.17,48.09,68,0,8.66
Iquique,CL,1538020800,-20.22,62.6,72,90,4.7
Saldanha,PT,1538024743,41.42,54.93,89,32,2.84
Odense,US,1538022900,37.7,50.9,98,1,1.16
Ilulissat,GL,1538023800,69.22,33.8,55,68,16.11
Khatanga,RU,1538024743,71.98,36.93,74,36,23.64
Port Hardy,CA,1538020800,50.7,57.2,67,40,6.93
Constantine,DZ,1538022600,36.36,53.6,81,20,3.36
Sirnak,TR,1538024744,37.52,70.95,18,0,2.39
Qaanaaq,GL,1538024687,77.48,21.9,100,80,7.65
Zhigansk,RU,1538024744,66.77,43.5,94,88,5.97
Vanimo,PG,1538024745,-2.67,83.91,100,0,10.33
Georgiyevka,RU,1538024745,52.25,41.7,83,92,20.62
Norman Wells,CA,1538020800,65.28,30.2,86,40,3.36
Manggar,ID,1538024745,-2.88,90.39,61,8,12.68
Alofi,NU,1538020800,-19.06,77.0,69,68,12.75
Palmer,US,1538020560,61.6,51.08,70,1,3.36
Izhma,RU,1538024468,65.01,40.35,81,92,11.23
Sorong,ID,1538024746,-0.86,83.46,99,76,10.78
Victoria,BN,1538022600,5.28,91.4,74,75,3.36
Cabo San Lucas,MX,1538019900,22.89,80.6,78,20,2.24
Los Llanos de Aridane,ES,1538022600,28.66,71.6,88,8,8.05
Bonavista,CA,1538024730,48.65,55.11,85,36,26.22
Geraldton,CA,1538020800,49.72,37.4,93,75,3.36
Great Yarmouth,GB,1538023800,52.61,53.6,93,0,4.7
Santa Ines,EC,1538020800,-0.82,53.6,81,75,3.36
Albany,US,1538023860,42.65,60.08,74,40,4.7
Deputatskiy,RU,1538024750,69.3,27.84,78,76,4.63
Gornopravdinsk,RU,1538024750,60.06,62.22,61,64,7.76
Chokurdakh,RU,1538024713,70.62,36.93,97,80,14.58
Dikson,RU,1538024751,73.51,38.55,99,88,14.47
Cape Canaveral,US,1538020560,28.41,82.94,80,1,10.29
Kamaishi,JP,1538020800,39.28,55.4,93,75,2.24
Dunedin,NZ,1538024751,-45.87,44.22,85,36,5.53
Hobart,AU,1538022720,-42.88,68.0,32,0,19.46
Merauke,ID,1538024752,-8.49,88.5,56,32,20.51
Katsuura,JP,1538020800,33.93,73.4,73,75,5.82
Beloha,MG,1538024753,-25.17,79.05,67,0,4.97
Aksu,KZ,1538020800,52.04,64.4,59,0,4.47
Chernihiv,UA,1538024754,51.49,46.83,85,92,21.74
Cayenne,GF,1538022600,4.94,75.2,100,0,9.66
Mar del Plata,AR,1538024754,-46.43,42.42,79,76,10.22
Mount Gambier,AU,1538024754,-37.83,60.42,74,32,7.43
Kavaratti,IN,1538024710,10.57,83.55,100,8,8.99
Isangel,VU,1538024722,-19.55,69.87,100,92,23.87
Kachiry,KZ,1538024755,53.07,70.23,49,8,4.18
Ancud,CL,1538024744,-41.87,45.03,97,92,7.76
Egvekinot,RU,1538024755,66.32,40.71,98,92,7.2
San Antonio,CL,1538020800,-33.58,53.6,93,0,6.93
Kodiak,US,1538023980,39.95,44.06,88,1,9.78
Sigli,ID,1538024759,5.38,83.19,92,0,4.85
Novobirilyussy,RU,1538024759,56.95,55.83,98,92,4.63
Te Anau,NZ,1538024714,-45.41,44.13,75,68,3.18
Vardo,US,1538021700,39.62,68.0,78,20,5.82
Matara,PE,1538024760,-13.74,36.21,92,48,1.28
Ponta do Sol,BR,1538024760,-20.63,73.83,38,48,7.65
Kawalu,ID,1538024760,-7.38,84.81,33,0,4.41
Georgetown,GY,1538020800,6.8,77.0,100,0,5.19
Faanui,PF,1538024694,-16.48,78.51,100,0,16.6
Lasa,CY,1538020200,34.92,68.0,72,20,2.24
Havre-Saint-Pierre,CA,1538023560,50.23,55.4,100,90,16.11
Severo-Kurilsk,RU,1538024762,50.68,50.34,86,0,14.92
Yumen,CN,1538024762,40.29,57.45,39,0,4.63
Mokrousovo,RU,1538024762,55.81,65.37,50,0,14.47
Gardner,US,1538023980,38.81,53.96,63,1,3.36
Kudat,MY,1538020800,6.89,89.6,59,75,12.75
Labuhan,ID,1538024763,-2.54,87.24,57,88,4.29
Nouadhibou,MR,1538020800,20.93,82.4,48,0,16.11
Itacoatiara,BR,1538024483,-3.14,77.61,94,12,1.16
Broome,GB,1538023800,52.47,53.6,93,0,4.7
Esperance,TT,1538020800,10.24,78.8,94,20,2.62
Freetown,BS,1538024766,26.61,82.92,98,88,12.8
Flinders,AU,1538020800,-34.58,69.8,46,0,14.99
Airai,TL,1538024767,-8.93,85.89,36,24,1.61
Rocha,UY,1538024741,-34.48,57.18,96,92,14.58
Lompoc,US,1538022900,34.64,57.92,93,90,4.97
Arlit,NE,1538024767,18.74,74.01,23,20,6.76
Dwarka,IN,1538020800,28.58,82.4,78,0,4.7
Hualmay,PE,1538024505,-11.1,52.77,91,48,4.29
Vacaria,BR,1538024767,-28.51,63.66,98,80,2.95
Wanning,AT,1538022000,48.64,37.4,93,0,2.24
Pisco,PE,1538020800,-13.71,62.6,82,90,10.29
Itupiranga,BR,1538020800,-5.13,80.6,83,0,2.24
Mariinsk,RU,1538024753,56.21,65.46,84,20,6.76
Kovdor,RU,1538024768,67.56,38.91,98,92,9.22
Padang,ID,1538024726,-0.92,82.2,100,24,3.4
Abu Zabad,SD,1538024769,12.35,79.86,80,0,6.76
Codrington,AU,1538024769,-28.95,69.69,66,32,5.75
Myanaung,MM,1538024769,18.28,89.04,86,8,4.07
Pochutla,MX,1538024769,15.74,78.6,100,56,3.74
Saskylakh,RU,1538024770,71.97,32.79,88,0,13.02
Mantua,IT,1538022000,45.16,46.4,87,0,1.12
Saint George,GR,1538022000,39.45,59.0,44,75,17.22
Shiyan,CN,1538024712,32.65,60.24,97,92,2.73
Coquimbo,CL,1538020800,-29.95,55.4,87,90,3.36
Alamosa,US,1538020320,37.47,50.0,9,1,9.17
Beyneu,KZ,1538024695,45.32,70.14,33,20,5.19
Worland,US,1538020380,44.02,51.98,12,1,2.62
Copiapo,CL,1538020800,-27.37,57.2,76,24,5.82
Laguna,MX,1538024772,27.52,77.07,74,0,1.95
Collie,AU,1538024773,-33.36,63.93,60,24,10.45
Mwinilunga,ZM,1538024773,-11.73,69.33,47,0,4.18
Quelimane,MZ,1538020800,-17.88,75.2,78,0,13.87
Roald,NO,1538022000,62.58,50.0,71,75,13.87
Tuatapere,NZ,1538024773,-46.13,46.02,100,92,7.65
Zaysan,KZ,1538024773,47.47,58.53,58,0,3.96
Mingshui,CN,1538024774,22.81,80.94,83,56,8.1
Kloulklubed,PW,1538023800,7.04,87.8,70,75,9.17
Praia da Vitoria,PT,1538020800,38.73,73.4,88,75,20.07
Nkhata Bay,MW,1538024775,-11.61,76.98,67,0,5.41
Sioux Lookout,CA,1538021940,50.1,41.0,93,90,3.36
Ahipara,NZ,1538024502,-35.17,55.65,83,56,9.22
Miraflores,CO,1538024776,5.2,53.04,99,80,1.39
Hamilton,CA,1538020800,43.26,55.4,93,75,3.36
Lobva,RU,1538024581,59.19,52.77,65,80,5.86
Torbay,CA,1538020800,47.66,48.2,87,90,16.11
Henties Bay,NA,1538024777,-22.12,52.41,100,0,3.18
Edson,CA,1538020800,53.59,42.8,93,90,4.7
Thoen,TH,1538024778,17.61,90.39,59,24,3.06
Isla Mujeres,MX,1538020020,21.23,82.4,83,75,6.93
Tasiilaq,GL,1538023800,65.61,35.6,69,64,2.24
Alyangula,AU,1538024778,-13.85,83.46,81,0,16.82
Ulaangom,MN,1538024779,49.98,54.21,35,8,5.3
Rawson,AR,1538024748,-43.3,41.97,72,88,10.0
Constitucion,MX,1538024779,23.99,62.31,48,24,8.32
Emerald,AU,1538024775,-23.53,86.88,27,8,4.63
Aksum,ET,1538024779,14.12,65.37,77,0,3.62
Kharhial,IN,1538024780,20.28,88.59,77,24,4.74
Bereda,ES,1538022600,43.27,62.6,88,0,5.82
Acapulco,MX,1538020020,16.86,80.6,83,75,2.28
Tobetsu,JP,1538022600,43.26,64.4,55,75,8.05
Changli,CN,1538024781,30.54,64.92,100,100,6.76
Karpathos,GR,1538022000,35.51,69.8,64,20,18.34
Traralgon,AU,1538024781,-38.19,67.44,47,0,5.64
Ukiah,US,1538020560,39.15,73.94,21,1,1.95
Kaitangata,NZ,1538024782,-46.28,48.09,78,36,8.99
Aksarayskiy,RU,1538020800,46.79,53.6,93,0,8.95
Massakory,TD,1538024783,13.0,74.73,80,12,2.95
Plavsk,RU,1538024783,53.71,42.6,96,92,25.55
Manono,CD,1538024783,-7.3,83.01,37,80,7.99
Lavrentiya,RU,1538024784,65.58,43.32,93,44,11.23
Kandi,BJ,1538024766,11.13,72.93,94,8,7.43
Caravelas,BR,1538024784,-17.73,76.71,100,80,13.47
Ballina,IE,1538024400,54.11,48.2,100,0,6.93
Moissac,FR,1538022600,44.11,60.8,81,0,6.93
Ola,RU,1538022600,59.58,60.8,55,20,11.18
Poum,MK,1538024785,41.28,34.59,67,0,1.72
Antalaha,MG,1538024785,-14.9,73.11,96,88,9.22
Fairbanks,US,1538020680,64.84,47.3,68,90,3.36
Daru,SL,1538024786,7.99,70.23,99,92,3.4
Arraial do Cabo,BR,1538024674,-22.97,73.65,87,0,19.84
Paamiut,GL,1538024786,61.99,40.8,94,92,39.86
Surt,LY,1538024786,31.21,74.19,100,88,17.94
Ribeira Grande,PT,1538024786,38.52,74.37,97,88,19.84
Yulara,AU,1538020800,-25.24,91.4,6,0,9.17
Waingapu,ID,1538024787,-9.65,87.51,49,48,9.78
Nemuro,JP,1538020800,43.32,57.2,82,75,6.93
Maragogi,BR,1538024502,-9.01,73.56,96,68,7.87
Fort Oglethorpe,US,1538023980,34.95,71.96,90,90,3.36
Naze,NG,1538024788,5.43,71.76,99,80,4.63
Kedougou,SN,1538024788,12.56,72.66,92,20,4.41
Acari,BR,1538024788,-6.44,66.36,92,8,11.9
Mariental,DE,1538023800,52.28,57.2,58,75,6.93
Bastia,IT,1538022000,44.6,60.8,48,0,4.7
Okulovka,RU,1538024789,58.37,46.2,85,76,21.07
Arman,RU,1538022600,59.7,60.8,55,20,11.18
Almaznyy,RU,1538024789,48.03,49.26,61,8,4.63
Nizhniy Baskunchak,RU,1538024789,48.22,55.47,84,0,4.85
Nishihara,JP,1538022540,35.74,64.4,93,75,1.12
Soyo,AO,1538024790,-6.13,73.11,89,88,4.18
Sao Domingos,BR,1538024665,-13.4,78.6,32,88,10.78
Vao,EE,1538024790,59.1,49.53,68,0,20.07
Ostrovnoy,RU,1538024790,68.05,40.17,100,92,7.76
Paka,HR,1538022600,45.29,33.8,80,0,2.24
Sorland,NO,1538020200,67.67,39.2,80,75,10.29
Kailua,US,1538022240,21.39,80.06,100,75,3.36
Souillac,FR,1538022600,45.6,57.2,76,0,9.17
Pevek,RU,1538024698,69.7,44.67,89,48,14.81
Hanmer Springs,NZ,1538024792,-42.52,43.41,70,36,2.62
Vila,IT,1538022000,45.18,48.2,93,0,5.82
Kargil,PK,1538024792,34.56,36.48,51,56,1.72
Lebu,ET,1538024793,8.96,69.15,39,0,4.18
Kahului,US,1538023440,20.89,84.02,94,40,10.29
Robertsport,LR,1538024793,6.75,74.37,100,92,9.78
Zabol,IR,1538020800,31.03,80.6,21,0,28.86
Nioro,GM,1538024793,13.79,75.99,89,0,8.21
Ust-Maya,RU,1538024794,60.42,55.47,65,0,4.74
Luwuk,ID,1538024794,-0.95,81.21,83,48,8.1
Port Macquarie,AU,1538020800,-31.43,66.2,59,64,11.41
Huejuquilla el Alto,MX,1538024794,22.63,56.46,90,48,2.62
Hirado,JP,1538020800,33.32,82.4,45,20,13.87
Udachnyy,RU,1538024566,66.42,37.74,81,88,3.29
Ahuimanu,US,1538022240,21.44,80.06,100,75,3.36
Boyolangu,ID,1538024795,-8.09,91.74,32,0,8.99
Palora,EC,1538024795,-1.7,55.56,100,20,2.28
Ulladulla,AU,1538020800,-35.36,69.8,46,0,14.99
Coolum Beach,AU,1538024796,-26.53,71.67,79,20,4.18
Ketchikan,US,1538020560,55.34,55.94,93,90,6.93
Curaca,BR,1538024527,-8.99,72.39,70,0,12.91
Mayo,CA,1538020800,63.59,41.0,60,20,3.36
Makakilo City,US,1538022240,21.35,80.06,100,75,4.7
Wamba,CD,1538024797,2.14,72.75,90,8,2.95
Kant,KG,1538024759,42.89,60.69,28,0,1.95
Morrope,PE,1538020800,-6.54,66.2,29,40,13.87
Milkovo,BG,1538022600,41.53,48.2,80,0,4.7
Kavieng,PG,1538024798,-2.57,86.25,98,44,11.45
Mountain Home,US,1538020680,43.13,59.0,33,1,4.7
Tura,IN,1538024519,25.52,83.37,89,36,2.06
Pangnirtung,CA,1538024798,66.15,22.71,88,0,5.41
Saint-Francois,FR,1538022600,46.42,44.6,93,0,3.62
Oriximina,BR,1538024799,-1.77,80.31,74,8,4.97
Namatanai,PG,1538024799,-3.66,84.81,94,0,14.25
Chingirlau,KZ,1538024799,51.09,50.34,95,92,7.99
Provideniya,RU,1538022600,64.42,48.2,70,75,8.95
Ewa Beach,US,1538022240,21.32,80.06,100,75,3.36
Carutapera,BR,1538024800,-1.2,79.23,86,88,10.78
Krasnosilka,UA,1538024800,50.15,50.25,57,88,18.72
Horta,ES,1538022600,41.43,60.8,93,0,1.12
Mezen,RU,1538024801,65.85,42.51,97,92,10.56
Samarai,PG,1538024801,-10.62,77.79,100,48,16.93
Faya,SA,1538020800,18.39,66.2,32,0,3.96
Ayorou,NE,1538024801,14.73,77.79,58,0,4.41
Tocopilla,CL,1538024802,-22.09,54.93,100,48,4.29
Muscat,OM,1538020200,23.6,86.0,84,0,5.82
Turayf,SA,1538020800,31.68,64.4,48,0,9.17
Tornio,FI,1538023800,61.12,46.4,65,75,18.34
Bubaque,GW,1538024735,11.28,81.03,100,48,17.27
Namibe,AO,1538024803,-15.19,65.01,100,24,7.65
San Cristobal,EC,1538020800,-0.39,53.6,81,75,3.36
Alta Floresta,BR,1538024803,-9.87,75.63,90,48,2.62
Ovsyanka,RU,1538024803,53.58,67.44,42,0,6.31
Vostok,RU,1538024803,46.45,54.84,66,88,2.62
Tyrma,RU,1538024804,50.04,59.97,49,0,3.18
Nalut,LY,1538024804,31.86,65.19,91,80,9.55
Sens,FR,1538022600,48.2,42.8,100,0,2.24
Ca Mau,VN,1538024510,9.18,86.79,86,32,11.79
Cortez,US,1538020380,37.35,46.94,12,1,2.51
Quthing,LS,1538024805,-30.4,62.13,33,0,4.41
California City,US,1538022000,35.13,80.06,22,1,10.29
Hambantota,LK,1538024805,6.12,81.03,100,32,12.68
San Vicente,SV,1538020200,13.64,78.8,100,20,6.93
Redmond,US,1538022900,47.67,62.96,93,1,5.75
High Level,CA,1538020800,58.52,30.2,86,40,2.24
Sindor,RU,1538024808,62.87,39.54,83,92,15.37
Westport,IE,1538024400,53.8,48.2,100,0,6.93
Belaya Gora,RU,1538024740,68.54,34.77,88,88,11.45
Contamana,PE,1538024809,-7.35,76.53,91,8,2.17
La Ronge,CA,1538020800,55.1,35.6,93,75,4.7
Dryden,CA,1538020800,49.79,41.0,93,90,5.82
Waipawa,NZ,1538024809,-39.94,47.73,83,88,4.29
Roswell,US,1538024100,33.39,55.94,86,1,6.87
Cherskiy,RU,1538024810,68.75,39.81,72,48,5.19
Birao,CF,1538024810,10.3,75.99,90,0,4.41
Shimoda,JP,1538020800,34.7,64.4,88,75,16.11
Temir,KZ,1538024811,49.14,62.76,50,76,7.43
Kisangani,CD,1538024811,0.52,74.73,95,64,2.06
Freeport,BS,1538024811,26.54,82.92,98,88,12.8
East London,ZA,1538020800,-33.02,57.2,82,0,5.82
Grand-Santi,GF,1538024811,4.27,75.27,87,8,4.74
La Rioja,AR,1538024812,-29.41,62.76,90,88,3.4
Jumla,NP,1538024812,29.28,51.96,81,8,1.16
Sauda,NO,1538022000,59.65,48.2,93,75,5.82
Chimore,BO,1538024812,-16.98,74.19,87,32,1.16
Salalah,OM,1538020200,17.01,77.0,73,40,5.82
Kushiro,JP,1538020800,43.11,57.2,87,75,6.93
Gizo,IL,1538022000,31.8,73.4,73,20,2.24
Buta,CD,1538024813,2.79,80.67,88,0,2.95
Panama City,US,1538022840,30.16,78.08,90,75,3.36
Vikulovo,RU,1538024814,55.07,39.9,98,92,27.34
Guerrero Negro,MX,1538024814,27.97,65.82,100,0,7.76
Betafo,MG,1538024814,-19.84,71.76,48,8,3.74
Fort Nelson,CA,1538020800,58.81,44.6,70,75,4.7
Vuktyl,RU,1538024814,63.86,42.6,75,0,8.21
Barabash,RU,1538022600,43.19,68.0,49,40,6.71
Micheweni,TZ,1538024815,-4.97,75.0,100,92,13.02
Wencheng,CN,1538024815,27.79,77.7,59,32,4.74
Tabou,CI,1538024816,4.42,77.7,100,92,13.69
Miri,NG,1538024816,10.31,68.43,94,48,3.06
Barao de Melgaco,BR,1538024400,-16.19,77.0,73,0,3.36
La Asuncion,EC,1538024817,-1.64,35.76,88,12,0.38
Malanville,NE,1538024817,11.86,74.91,87,0,6.42
San Angelo,US,1538021880,31.46,57.92,80,90,9.17
Wisconsin Rapids,US,1538022900,44.39,46.04,100,1,3.36
Champerico,MX,1538019840,16.38,69.8,94,90,5.82
Southbridge,US,1538024160,42.08,68.0,96,90,4.7
Belaya Kholunitsa,RU,1538024818,58.84,42.51,83,0,18.16
Winslow,GB,1538023800,51.94,50.0,87,0,5.82
Caohe,CN,1538024819,32.93,55.83,84,92,2.06
Cuauhtemoc,MX,1538019600,28.72,82.4,58,5,4.7
Katherine,AU,1538022600,-14.47,95.0,17,75,14.99
Saint-Joseph,FR,1538022600,43.56,60.8,76,0,4.7
Beaverlodge,CA,1538020800,55.21,44.6,87,90,6.93
Baglung,NP,1538024820,28.27,72.3,74,8,1.83
Moron,VE,1538024821,10.49,70.5,93,88,2.62
Oistins,BB,1538020800,13.07,80.6,83,75,14.99
Lata,IN,1538024821,30.78,66.54,77,0,1.95
Mogadishu,SO,1538020800,2.04,80.6,78,20,14.99
Sur,OM,1538024822,22.57,84.27,93,0,5.64
Avera,US,1538022900,33.19,78.8,97,75,4.41
Sinnamary,GF,1538024741,5.38,81.39,97,0,14.7
Okha,RU,1538024823,53.59,60.78,59,0,11.23
Sayyan,YE,1538024823,15.17,71.94,19,0,4.85
Aranos,NA,1538024823,-24.14,64.38,20,0,3.4
Maramba,ID,1538024824,-2.58,79.41,54,76,2.06
Aldan,RU,1538024824,58.61,59.88,54,0,7.2
Kungurtug,RU,1538024824,50.6,35.04,90,92,9.78
Puqi,CN,1538024716,29.72,76.26,81,20,5.75
Talakan,RU,1538024824,50.29,64.65,41,0,3.85
San Juan,AR,1538024826,-31.54,48.81,75,92,5.19
Artyom,RU,1538022600,43.36,68.0,49,40,6.71
Tripoli,GR,1538022000,37.51,64.4,42,40,20.8
Baijiantan,CN,1538024827,45.63,59.43,84,0,5.19
Sistranda,NO,1538023800,63.73,46.4,75,75,25.28
Bacolod,PH,1538024828,10.68,83.46,72,64,15.03
Las Cruces,CL,1538024400,-33.5,53.6,87,90,3.51
Saint Anthony,US,1538020560,43.97,57.02,8,1,9.17
Sobolevo,RU,1538024829,54.43,49.62,93,88,13.69
Kagalnitskaya,RU,1538024829,46.88,53.85,62,12,4.18
Oksfjord,NO,1538022000,70.24,39.2,100,75,33.33
Evensk,RU,1538024829,61.92,45.57,98,0,5.75
Camacha,PT,1538022600,33.08,69.8,73,40,9.17
Tecoanapa,MX,1538020020,16.99,80.6,83,75,2.62
Verkh-Usugli,RU,1538024534,52.7,60.87,40,68,9.78
Araouane,ML,1538024830,18.9,74.55,36,20,2.73
Eyl,SO,1538024830,7.98,80.67,77,0,13.35
Pushkino,RU,1538022600,56.01,42.8,93,75,20.13
Amasya,TR,1538022000,40.65,53.6,71,75,6.93
Ewo,CG,1538024832,-0.88,72.93,94,36,5.97
Natal,BR,1538024400,-5.81,75.2,78,40,9.17
Port-Cartier,CA,1538022300,50.03,51.8,100,90,9.17
Ambulu,ID,1538024832,-8.35,80.76,83,0,8.77
Valleyview,CA,1538024833,55.07,42.42,87,92,3.18
Swan Hill,AU,1538024833,-35.34,75.09,36,0,12.8
Kapuskasing,CA,1538020800,49.42,44.6,93,90,6.93
Togul,RU,1538024833,53.47,65.1,75,8,4.18
Ariquemes,BR,1538024833,-9.91,78.69,80,20,2.06
Sovetskiy,RU,1538024834,56.76,41.97,81,64,17.94
Bairnsdale,AU,1538024834,-37.83,68.07,58,0,4.74
Manta,RO,1538024834,45.1,36.93,79,8,2.62
Soure,PT,1538020800,40.06,66.2,88,0,5.82
Yerbogachen,RU,1538024835,61.28,48.72,83,88,2.95
Awjilah,LY,1538024835,29.14,73.29,76,12,4.63
Riyadh,SA,1538020800,24.63,80.6,15,0,4.07
Trairi,BR,1538024836,-3.28,78.87,100,8,25.55
Port Blair,IN,1538024836,11.67,82.83,100,32,8.66
Maun,BW,1538024836,-19.99,76.71,26,0,6.98
Volnoye,RU,1538024837,44.63,51.69,94,0,3.62
Zyryanka,RU,1538024837,65.73,37.29,67,64,4.18
Lac-Megantic,CA,1538022900,45.58,55.4,87,1,6.93
Usinsk,RU,1538024837,66.0,40.35,92,88,17.05
Ayan,TR,1538024838,40.67,45.48,83,76,5.19
Batagay-Alyta,RU,1538024838,67.8,23.97,82,88,6.98
Touros,BR,1538024838,-5.2,76.53,88,80,13.8
Snasa,NO,1538023800,64.25,42.8,87,75,4.7
Kinablangan,PH,1538024839,7.69,87.69,87,20,10.56
North Bend,US,1538024160,43.41,53.96,93,1,3.51
